Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Pyotr Tchaikovsky | The Nutcracker (suite), Op.71a | "" → "Ballet, Balé, O Quebra-Nozes, Dança da Fada Açucarada" | Op.71a ; TH 35 | title: "The Nutcracker" + opus: "Op.71"
Wolfgang Amadeus Mozart | Eine kleine Nachtmusik, K.525 | "" → "Serenade No.13, Serenata No.13, Little Night Music, Pequena Serenata Noturna, A Little Night Music" | K.525 | title: "Eine kleine Nachtmusik" + catalog: "K.525"
Wolfgang Amadeus Mozart | Quartet ‘Recordare Jesu pie’ from the Requiem mass | "" → "Requiem Mass, Missa de Réquiem, Mozart Requiem" | K.626 ; SmWV 105 (Süssmayr completion) | title: "Requiem" + catalog: "K.626"
Wolfgang Amadeus Mozart | Requiem in D minor, K.626 | "" → "Requiem Mass, Missa de Réquiem, Mozart Requiem" | K.626 ; SmWV 105 (Süssmayr completion) | title: "Requiem" + catalog: "K.626"
Wolfgang Amadeus Mozart | Requiem in D minor, K.626 (audio) | "" → "Requiem Mass, Missa de Réquiem, Mozart Requiem" | K.626 ; SmWV 105 (Süssmayr completion) | title: "Requiem" + catalog: "K.626"
Franz Schubert | Symphony No.8, D.759 | "" → "Unfinished, Inacabada" | D.759 | title: "Symphony No.8" + catalog: "D.759"
Gary Bachlund | Toccata and Fugue for Major Triads | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
Gary Bachlund | Toccata and Fugue in A minor | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
Gary Bachlund | Toccata and Fugue in C Lydian | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
Gary Bachlund | Toccata and Fugue in D Dorian | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
Gary Bachlund | Toccata and Fugue in E flat Dorian | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
Gary Bachlund | Toccata and Fugue in F minor | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | N/A | title: "Toccata and Fugue"
George Frideric Handel | Messiah, HWV 56 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 56 | title: "Messiah" + catalog: "HWV 56"
Giacomo Puccini | La bohème, SC 67 | "" → "Opera, Ópera" | N/A | title: "La bohème"
Giuseppe Verdi | Aïda | "" → "Opera, Ópera" | N/A | title: "Aida"
Giuseppe Verdi | La traviata | "" → "Opera, Ópera" | N/A | title: "La traviata"
Giuseppe Verdi | Rigoletto | "" → "Opera, Ópera, A mulher é volúvel" | N/A | title: "Rigoletto"
Johann Pachelbel | Canon and Gigue in D major, P.37 | "" → "Canon de Pachelbel, Canon in D major" | P.37 ; T.337 | title: "Canon"
Johann Sebastian Bach | 6 Brandenburg Concertos | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1046-1051 | title: "Brandenburg Concerto" + catalog: "BWV 1046"
Johann Sebastian Bach | Brandenburg Concerto No.1 in F major, BWV 1046 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1046 | title: "Brandenburg Concerto" + catalog: "BWV 1046"
Johann Sebastian Bach | Brandenburg Concerto No.2 in F major, BWV 1047 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1047 | title: "Brandenburg Concerto"
Johann Sebastian Bach | Brandenburg Concerto No.3 in G major, BWV 1048 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1048 | title: "Brandenburg Concerto"
Johann Sebastian Bach | Brandenburg Concerto No.4 in G major, BWV 1049 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1049 | title: "Brandenburg Concerto"
Johann Sebastian Bach | Brandenburg Concerto No.5 in D major, BWV 1050 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1050 | title: "Brandenburg Concerto"
Johann Sebastian Bach | Brandenburg Concerto No.6 in B-flat major, BWV 1051 | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1051 | title: "Brandenburg Concerto"
Johann Sebastian Bach | Toccata and Fugue in C major, BWV 566a | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | BWV 566a ; BC J 17 | title: "Toccata and Fugue"
Johann Sebastian Bach | Toccata and Fugue in D minor, BWV 538 | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | BWV 538 ; BC J 38 | title: "Toccata and Fugue"
Johann Sebastian Bach | Toccata and Fugue in D minor, BWV 565 | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | BWV 565 ; BC J 37 | title: "Toccata and Fugue" + catalog: "BWV 565"
Johann Sebastian Bach | Toccata and Fugue in E major, BWV 566 | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | BWV 566 ; BC J 17 | title: "Toccata and Fugue"
Johann Sebastian Bach | Toccata and Fugue in F major, BWV 540 | "" → "Toccata and Fugue in D minor, Tocata e Fuga em Ré menor, Toccata em Ré menor" | BWV 540 ; BC J 39, 55, 73 | title: "Toccata and Fugue"
Ludwig van Beethoven | Piano Sonata No.8, Op.13 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.13 | title: "Piano Sonata No.8" + opus: "Op.13"
Ludwig van Beethoven | Symphony No.6, Op.68 | "" → "Pastoral, Pastorale, Sinfonia Pastoral" | Op.68 | title: "Symphony No.6" + opus: "Op.68"
Pyotr Tchaikovsky | Piano Concerto No.1, Op.23 | "" → "Tchaikovsky Piano Concerto, Concerto para Piano de Tchaikovsky" | Op.23 ; TH 55 ; ČW 53 | title: "Piano Concerto No.1" + opus: "Op.23"
Pyotr Tchaikovsky | Symphony No.6, Op.74 | "" → "Pathétique, Patética" | Op.74 ; TH 30 ; ČW 27 | title: "Symphony No.6" + opus: "Op.74"
Sergei Rachmaninoff | Piano Concerto No.2, Op.18 | "" → "Rachmaninoff Piano Concerto No.2, Concerto para Piano No.2 de Rachmaninoff" | Op.18 | title: "Piano Concerto No.2" + opus: "Op.18"
Wolfgang Amadeus Mozart | Piano Sonata No.16 in C major, K.545 | "" → "Sonata Facile, Sonata Fácil, Easy Sonata, Sonata for Beginners" | K.545 | title: "Piano Sonata No.16" + catalog: "K.545"
Wolfgang Amadeus Mozart | Symphony No.40 in G minor, K.550 | "" → "Great G minor Symphony, Grande Sinfonia em Sol menor" | K.550 | title: "Symphony No.40" + catalog: "K.550"
Wolfgang Amadeus Mozart | Symphony No.41 in C major, K.551 | "" → "Jupiter, Júpiter" | K.551 | title: "Symphony No.41" + catalog: "K.551"
Antonín Dvořák | Cello Concerto in A major, B.10 | "" → "Dvořák Cello Concerto, Concerto para Violoncelo de Dvořák" | B.10 | title: "Cello Concerto"
Antonín Dvořák | Cello Concerto, Op.104 | "" → "Dvořák Cello Concerto, Concerto para Violoncelo de Dvořák" | Op.104 ; B.191 | title: "Cello Concerto" + opus: "Op.104"
Camille Saint-Saëns | O Cisne | "" → "Le carnaval des animaux, O Carnaval dos Bichos, O Cisne" | R.125 | title: "O Cisne" + catalog: "R.125"
Edvard Grieg | Piano Concerto in B minor, EG 120 | "" → "Grieg Piano Concerto, Concerto para Piano de Grieg" | EG 120 | title: "Piano Concerto"
Edvard Grieg | Piano Concerto, Op.16 | "" → "Grieg Piano Concerto, Concerto para Piano de Grieg" | Op.16 | title: "Piano Concerto" + opus: "Op.16"
